timestamp(ms),OrientX,OrientY,OrientZ,GyroX,GyroY,GyroZ,LinearX,LinearY,LinearZ,MagX,MagY,MagZ,AcclX,AcclY,AcclZ,GravityX,GravityY,GravityZ,temperature,
"1678296418,11","326,0625",,,,,,,,,,,,,,,,,,,
"1678296418,114",,"1,25",,,,,,,,,,,,,,,,,,
"1678296418,116",,,"1,6875",,,,,,,,,,,,,,,,,
"1678296418,119",,,,"0,001091",,,,,,,,,,,,,,,,
"1678296418,122",,,,,"0,002182",,,,,,,,,,,,,,,
"1678296418,126",,,,,,"-0,001091",,,,,,,,,,,,,,
"1678296418,129",,,,,,,"-0,05",,,,,,,,,,,,,
"1678296418,132",,,,,,,,"-0,06",,,,,,,,,,,,
"1678296418,135",,,,,,,,,"-0,25",,,,,,,,,,,
"1678296418,138",,,,,,,,,,"7,1875",,,,,,,,,,
"1678296418,141",,,,,,,,,,,"-14,75",,,,,,,,,
"1678296418,144",,,,,,,,,,,,"-61,875",,,,,,,,
"1678296418,147",,,,,,,,,,,,,"0,15",,,,,,,
"1678296418,15",,,,,,,,,,,,,,"-0,36",,,,,,
"1678296418,153",,,,,,,,,,,,,,,"9,54",,,,,
"1678296418,158",,,,,,,,,,,,,,,,"0,21",,,,
"1678296418,161",,,,,,,,,,,,,,,,,"-0,29",,,
"1678296418,164",,,,,,,,,,,,,,,,,,"9,79",,
"1678296418,167",,,,,,,,,,,,,,,,,,,"23",
"1678296418,192","326,0625",,,,,,,,,,,,,,,,,,,
"1678296418,195",,"1,25",,,,,,,,,,,,,,,,,,
"1678296418,198",,,"1,6875",,,,,,,,,,,,,,,,,
"1678296418,2",,,,"0",,,,,,,,,,,,,,,,
"1678296418,203",,,,,"0",,,,,,,,,,,,,,,
"1678296418,207",,,,,,"0,002182",,,,,,,,,,,,,,
"1678296418,211",,,,,,,"-0,03",,,,,,,,,,,,,
"1678296418,214",,,,,,,,"-0,06",,,,,,,,,,,,
"1678296418,217",,,,,,,,,"-0,22",,,,,,,,,,,
"1678296418,219",,,,,,,,,,"6,75",,,,,,,,,,
"1678296418,223",,,,,,,,,,,"-14,75",,,,,,,,,
"1678296418,226",,,,,,,,,,,,"-61,375",,,,,,,,
"1678296418,229",,,,,,,,,,,,,"0,18",,,,,,,
"1678296418,233",,,,,,,,,,,,,,"-0,35",,,,,,
"1678296418,235",,,,,,,,,,,,,,,"9,57",,,,,
"1678296418,239",,,,,,,,,,,,,,,,"0,21",,,,
"1678296418,243",,,,,,,,,,,,,,,,,"-0,29",,,
"1678296418,246",,,,,,,,,,,,,,,,,,"9,79",,
"1678296418,249",,,,,,,,,,,,,,,,,,,"23",
"1678296418,273","326,0625",,,,,,,,,,,,,,,,,,,
"1678296418,275",,"1,25",,,,,,,,,,,,,,,,,,
"1678296418,279",,,"1,6875",,,,,,,,,,,,,,,,,
"1678296418,282",,,,"0,001091",,,,,,,,,,,,,,,,
"1678296418,285",,,,,"-0,004363",,,,,,,,,,,,,,,
"1678296418,288",,,,,,"-0,001091",,,,,,,,,,,,,,
"1678296418,292",,,,,,,"-0,08",,,,,,,,,,,,,
"1678296418,294",,,,,,,,"-0,11",,,,,,,,,,,,
"1678296418,298",,,,,,,,,"-0,17",,,,,,,,,,,
"1678296418,302",,,,,,,,,,"7,1875",,,,,,,,,,
"1678296418,304",,,,,,,,,,,"-14,75",,,,,,,,,
"1678296418,307",,,,,,,,,,,,"-61,5",,,,,,,,
"1678296418,311",,,,,,,,,,,,,"0,12",,,,,,,
"1678296418,314",,,,,,,,,,,,,,"-0,4",,,,,,
"1678296418,317",,,,,,,,,,,,,,,"9,62",,,,,
"1678296418,319",,,,,,,,,,,,,,,,"0,21",,,,
"1678296418,323",,,,,,,,,,,,,,,,,"-0,29",,,
"1678296418,327",,,,,,,,,,,,,,,,,,"9,79",,
"1678296418,33",,,,,,,,,,,,,,,,,,,"23",
"1678296418,356","326,0625",,,,,,,,,,,,,,,,,,,
"1678296418,358",,"1,25",,,,,,,,,,,,,,,,,,
"1678296418,361",,,"1,6875",,,,,,,,,,,,,,,,,
"1678296418,364",,,,"-0,001091",,,,,,,,,,,,,,,,
"1678296418,368",,,,,"-0,002182",,,,,,,,,,,,,,,
"1678296418,37",,,,,,"0,001091",,,,,,,,,,,,,,
"1678296418,373",,,,,,,"-0,01",,,,,,,,,,,,,
"1678296418,378",,,,,,,,"-0,03",,,,,,,,,,,,
"1678296418,38",,,,,,,,,"-0,27",,,,,,,,,,,
"1678296418,384",,,,,,,,,,"7,875",,,,,,,,,,
"1678296418,386",,,,,,,,,,,"-14,375",,,,,,,,,
"1678296418,389",,,,,,,,,,,,"-61,0625",,,,,,,,
"1678296418,392",,,,,,,,,,,,,"0,2",,,,,,,
"1678296418,396",,,,,,,,,,,,,,"-0,32",,,,,,
"1678296418,4",,,,,,,,,,,,,,,"9,52",,,,,
"1678296418,402",,,,,,,,,,,,,,,,"0,21",,,,
"1678296418,406",,,,,,,,,,,,,,,,,"-0,29",,,
"1678296418,409",,,,,,,,,,,,,,,,,,"9,79",,
"1678296418,413",,,,,,,,,,,,,,,,,,,"23",
"1678296418,439","326,0625",,,,,,,,,,,,,,,,,,,
"1678296418,442",,"1,25",,,,,,,,,,,,,,,,,,
"1678296418,444",,,"1,6875",,,,,,,,,,,,,,,,,
"1678296418,448",,,,"0",,,,,,,,,,,,,,,,
"1678296418,451",,,,,"-0,002182",,,,,,,,,,,,,,,
"1678296418,454",,,,,,"0",,,,,,,,,,,,,,
"1678296418,457",,,,,,,"-0,09",,,,,,,,,,,,,
"1678296418,461",,,,,,,,"-0,1",,,,,,,,,,,,
"1678296418,465",,,,,,,,,"-0,27",,,,,,,,,,,
"1678296418,467",,,,,,,,,,"7,1875",,,,,,,,,,
"1678296418,469",,,,,,,,,,,"-14,75",,,,,,,,,
"1678296418,472",,,,,,,,,,,,"-60,6875",,,,,,,,
"1678296418,475",,,,,,,,,,,,,"0,12",,,,,,,
"1678296418,479",,,,,,,,,,,,,,"-0,39",,,,,,
"1678296418,481",,,,,,,,,,,,,,,"9,52",,,,,
"1678296418,485",,,,,,,,,,,,,,,,"0,21",,,,
"1678296418,488",,,,,,,,,,,,,,,,,"-0,29",,,
"1678296418,492",,,,,,,,,,,,,,,,,,"9,79",,
"1678296418,495",,,,,,,,,,,,,,,,,,,"23",
"1678296418,521","326,0625",,,,,,,,,,,,,,,,,,,
"1678296418,524",,"1,25",,,,,,,,,,,,,,,,,,
"1678296418,526",,,"1,6875",,,,,,,,,,,,,,,,,
"1678296418,53",,,,"0,001091",,,,,,,,,,,,,,,,
"1678296418,533",,,,,"-0,006545",,,,,,,,,,,,,,,
"1678296418,536",,,,,,"-0,001091",,,,,,,,,,,,,,
"1678296418,539",,,,,,,"-0,05",,,,,,,,,,,,,
"1678296418,543",,,,,,,,"-0,04",,,,,,,,,,,,
"1678296418,546",,,,,,,,,"-0,31",,,,,,,,,,,
"1678296418,548",,,,,,,,,,"7,1875",,,,,,,,,,
"1678296418,552",,,,,,,,,,,"-14,75",,,,,,,,,
"1678296418,556",,,,,,,,,,,,"-61,5",,,,,,,,
"1678296418,558",,,,,,,,,,,,,"0,19",,,,,,,
"1678296418,561",,,,,,,,,,,,,,"-0,34",,,,,,
"1678296418,563",,,,,,,,,,,,,,,"9,58",,,,,
"1678296418,568",,,,,,,,,,,,,,,,"0,21",,,,
"1678296418,57",,,,,,,,,,,,,,,,,"-0,29",,,
"1678296418,575",,,,,,,,,,,,,,,,,,"9,79",,
"1678296418,577",,,,,,,,,,,,,,,,,,,"23",
"1678296418,602","326,0625",,,,,,,,,,,,,,,,,,,
"1678296418,604",,"1,25",,,,,,,,,,,,,,,,,,
"1678296418,607",,,"1,6875",,,,,,,,,,,,,,,,,
"1678296418,611",,,,"0,001091",,,,,,,,,,,,,,,,
"1678296418,613",,,,,"0",,,,,,,,,,,,,,,
"1678296418,616",,,,,,"0,001091",,,,,,,,,,,,,,
"1678296418,62",,,,,,,"-0,09",,,,,,,,,,,,,
"1678296418,623",,,,,,,,"-0,06",,,,,,,,,,,,
"1678296418,628",,,,,,,,,"-0,23",,,,,,,,,,,
"1678296418,629",,,,,,,,,,"6,75",,,,,,,,,,
"1678296418,632",,,,,,,,,,,"-14,375",,,,,,,,,
"1678296418,636",,,,,,,,,,,,"-60,6875",,,,,,,,
"1678296418,639",,,,,,,,,,,,,"0,11",,,,,,,
"1678296418,643",,,,,,,,,,,,,,"-0,35",,,,,,
"1678296418,644",,,,,,,,,,,,,,,"9,56",,,,,
"1678296418,649",,,,,,,,,,,,,,,,"0,21",,,,
"1678296418,652",,,,,,,,,,,,,,,,,"-0,29",,,
"1678296418,656",,,,,,,,,,,,,,,,,,"9,79",,
"1678296418,658",,,,,,,,,,,,,,,,,,,"23",
"1678296418,682","326,0625",,,,,,,,,,,,,,,,,,,
"1678296418,685",,"1,25",,,,,,,,,,,,,,,,,,
