timestamp(ms),temperature,OrientX(deg),OrientY(deg),OrientZ(deg),GyroX(rad/s),GyroY(rad/s),GyroZ(rad/s),LinearX(m/s^2),LinearY(m/s^2),LinearZ(m/s^2),MagX(uT),MagY(uT),MagZ(uT),AcclX(m/s^2),AcclY(m/s^2),AcclZ(m/s^2),GravityX(m/s^2),GravityY(m/s^2),GravityZ(m/s^2),
"1678298651,775",,,,,"0",,,,,,,,,,,,,,,
"1678298651,78",,,,,,"0",,,,,,,,,,,,,,
"1678298651,784",,,,,,,"0",,,,,,,,,,,,,
"1678298651,788",,,,,,,,"0",,,,,,,,,,,,
"1678298651,793",,,,,,,,,"0",,,,,,,,,,,
"1678298651,797",,,,,,,,,,"0",,,,,,,,,,
"1678298651,801",,,,,,,,,,,"0",,,,,,,,,
"1678298651,804",,,,,,,,,,,,"0",,,,,,,,
"1678298651,807",,,,,,,,,,,,,"0",,,,,,,
"1678298651,812",,,,,,,,,,,,,,"0,07",,,,,,
"1678298651,816",,,,,,,,,,,,,,,"-0,31",,,,,
"1678298651,82",,,,,,,,,,,,,,,,"9,54",,,,
"1678298651,825",,,,,,,,,,,,,,,,,"0",,,
"1678298651,829",,,,,,,,,,,,,,,,,,"0",,
"1678298651,834",,,,,,,,,,,,,,,,,,,"0",
"1678298651,837","24",,,,,,,,,,,,,,,,,,,
"1678298651,866",,"0",,,,,,,,,,,,,,,,,,
"1678298651,871",,,"0",,,,,,,,,,,,,,,,,
"1678298651,875",,,,"0",,,,,,,,,,,,,,,,
"1678298651,879",,,,,"0",,,,,,,,,,,,,,,
"1678298651,883",,,,,,"0",,,,,,,,,,,,,,
"1678298651,887",,,,,,,"0",,,,,,,,,,,,,
"1678298651,891",,,,,,,,"0",,,,,,,,,,,,
"1678298651,896",,,,,,,,,"0",,,,,,,,,,,
"1678298651,9",,,,,,,,,,"0",,,,,,,,,,
"1678298651,904",,,,,,,,,,,"0",,,,,,,,,
"1678298651,907",,,,,,,,,,,,"0",,,,,,,,
"1678298651,911",,,,,,,,,,,,,"0",,,,,,,
"1678298651,917",,,,,,,,,,,,,,"0,04",,,,,,
"1678298651,919",,,,,,,,,,,,,,,"-0,31",,,,,
"1678298651,924",,,,,,,,,,,,,,,,"9,57",,,,
"1678298651,928",,,,,,,,,,,,,,,,,"0",,,
"1678298651,933",,,,,,,,,,,,,,,,,,"0",,
"1678298651,937",,,,,,,,,,,,,,,,,,,"0",
"1678298651,94","24",,,,,,,,,,,,,,,,,,,
"1678298651,969",,"0",,,,,,,,,,,,,,,,,,
"1678298651,973",,,"0",,,,,,,,,,,,,,,,,
"1678298651,978",,,,"0",,,,,,,,,,,,,,,,
"1678298651,982",,,,,"0",,,,,,,,,,,,,,,
"1678298651,986",,,,,,"0",,,,,,,,,,,,,,
"1678298651,99",,,,,,,"0",,,,,,,,,,,,,
"1678298651,994",,,,,,,,"0",,,,,,,,,,,,
"1678298651,999",,,,,,,,,"0",,,,,,,,,,,
"1678298652,003",,,,,,,,,,"0",,,,,,,,,,
"1678298652,007",,,,,,,,,,,"0",,,,,,,,,
"1678298652,01",,,,,,,,,,,,"0",,,,,,,,
"1678298652,014",,,,,,,,,,,,,"0",,,,,,,
"1678298652,018",,,,,,,,,,,,,,"0,06",,,,,,
"1678298652,022",,,,,,,,,,,,,,,"-0,31",,,,,
"1678298652,026",,,,,,,,,,,,,,,,"9,52",,,,
"1678298652,031",,,,,,,,,,,,,,,,,"0",,,
"1678298652,035",,,,,,,,,,,,,,,,,,"0",,
"1678298652,04",,,,,,,,,,,,,,,,,,,"0",
"1678298652,043","24",,,,,,,,,,,,,,,,,,,
"1678298652,08",,"0",,,,,,,,,,,,,,,,,,
"1678298652,084",,,"0",,,,,,,,,,,,,,,,,
"1678298652,088",,,,"0",,,,,,,,,,,,,,,,
"1678298652,092",,,,,"0",,,,,,,,,,,,,,,
"1678298652,097",,,,,,"0",,,,,,,,,,,,,,
"1678298652,101",,,,,,,"0",,,,,,,,,,,,,
"1678298652,105",,,,,,,,"0",,,,,,,,,,,,
"1678298652,11",,,,,,,,,"0",,,,,,,,,,,
"1678298652,114",,,,,,,,,,"0",,,,,,,,,,
"1678298652,117",,,,,,,,,,,"0",,,,,,,,,
"1678298652,121",,,,,,,,,,,,"0",,,,,,,,
"1678298652,124",,,,,,,,,,,,,"0",,,,,,,
"1678298652,128",,,,,,,,,,,,,,"0,06",,,,,,
"1678298652,133",,,,,,,,,,,,,,,"-0,3",,,,,
"1678298652,137",,,,,,,,,,,,,,,,"9,56",,,,
