,0,1,2,3
0,2882,0.000000,0.000000,0.000000
1,2999,0.000000,0.000000,0.000000
2,3116,0.000000,0.000000,0.000000
3,3239,0.090000,-0.340000,9.590000
4,3362,0.110000,-0.340000,9.560000
5,3485,0.090000,-0.340000,9.570000
6,3597,0.110000,-0.340000,9.560000
7,3720,0.130000,-0.340000,9.580000
8,3844,0.110000,-0.350000,9.540000
9,3978,0.100000,-0.350000,9.560000
10,4090,0.100000,-0.340000,9.560000
11,4213,0.100000,-0.360000,9.560000
12,4336,0.100000,-0.330000,9.570000
13,4459,0.110000,-0.340000,9.540000
14,4583,0.110000,-0.340000,9.560000
15,4706,0.110000,-0.330000,9.590000
16,4829,0.080000,-0.330000,9.580000
17,4941,0.110000,-0.340000,9.550000
18,5075,0.110000,-0.340000,9.580000
19,5199,0.110000,-0.330000,9.530000
20,5322,0.110000,-0.340000,9.510000
21,5434,0.110000,-0.340000,9.580000
22,5557,0.120000,-0.340000,9.530000
23,5680,0.110000,-0.340000,9.520000
24,5803,0.100000,-0.330000,9.570000
25,5926,0.110000,-0.340000,9.540000
26,6049,0.100000,-0.340000,9.550000
27,6172,0.100000,-0.340000,9.530000
28,6296,0.090000,-0.340000,9.520000
29,6419,0.110000,-0.340000,9.530000
30,6542,0.120000,-0.330000,9.560000
31,6665,0.090000,-0.340000,9.580000
32,6778,0.110000,-0.330000,9.530000
33,6901,0.120000,-0.330000,9.530000
34,7024,0.100000,-0.340000,9.550000
35,7147,0.100000,-0.330000,9.520000
36,7270,0.110000,-0.350000,9.540000
37,7393,0.110000,-0.330000,9.560000
38,7516,0.100000,-0.340000,9.590000
39,7639,0.110000,-0.330000,9.540000
40,7763,0.110000,-0.350000,9.520000
41,7886,0.110000,-0.330000,9.530000
42,8009,0.110000,-0.340000,9.590000
43,8121,0.110000,-0.350000,9.580000
44,8245,0.110000,-0.340000,9.540000
45,8379,0.110000,-0.360000,9.530000
46,8502,0.100000,-0.340000,9.600000
47,8614,0.120000,-0.360000,9.560000
48,8737,0.100000,-0.340000,9.550000
49,8860,0.100000,-0.350000,9.520000
50,8983,0.110000,-0.340000,9.550000
51,9106,0.110000,-0.330000,9.560000
52,9230,0.110000,-0.340000,9.570000
53,9342,0.140000,-0.340000,9.530000
54,9476,0.110000,-0.330000,9.550000
55,9600,0.100000,-0.340000,9.560000
56,9723,0.100000,-0.350000,9.570000
57,9846,0.110000,-0.330000,9.550000
58,9958,0.120000,-0.330000,9.590000
59,10081,0.110000,-0.330000,9.550000
60,10204,0.100000,-0.350000,9.580000
61,10327,0.110000,-0.330000,9.540000
62,10450,0.130000,-0.340000,9.570000
63,10584,0.110000,-0.340000,9.540000
64,10707,0.130000,-0.340000,9.560000
65,10830,0.110000,-0.330000,9.580000
66,10953,0.090000,-0.340000,9.520000
67,11066,0.110000,-0.340000,9.540000
68,11189,0.110000,-0.350000,9.530000
69,11312,0.090000,-0.340000,9.550000
70,11435,0.090000,-0.360000,9.560000
71,11559,0.110000,-0.340000,9.540000
72,11693,0.110000,-0.350000,9.530000
73,11816,0.100000,-0.350000,9.550000
74,11940,0.110000,-0.340000,9.500000
75,12063,0.110000,-0.340000,9.510000
76,12186,0.110000,-0.340000,9.530000
77,12309,0.090000,-0.350000,9.530000
78,12421,0.110000,-0.340000,9.530000
79,12544,0.100000,-0.340000,9.520000
80,12667,0.110000,-0.360000,9.550000
81,12801,0.100000,-0.340000,9.570000
82,12924,0.110000,-0.340000,9.600000
83,13047,0.100000,-0.350000,9.570000
84,13170,0.110000,-0.340000,9.500000
85,13293,0.100000,-0.340000,9.550000
86,13416,0.120000,-0.340000,9.640000
87,13539,0.120000,-0.340000,9.530000
88,13662,0.130000,-0.350000,9.560000
89,13774,0.100000,-0.340000,9.550000
90,13908,0.110000,-0.350000,9.500000
91,14031,0.110000,-0.340000,9.540000
92,14154,0.110000,-0.350000,9.560000
93,14277,0.100000,-0.330000,9.580000
94,14400,0.120000,-0.340000,9.600000
95,14523,0.110000,-0.340000,9.520000
96,14646,0.110000,-0.350000,9.570000
97,14769,0.110000,-0.350000,9.530000
98,14893,0.110000,-0.330000,9.500000
99,15016,0.130000,-0.350000,9.550000
100,15139,0.110000,-0.340000,9.570000
101,15263,0.100000,-0.340000,9.580000
102,15386,0.120000,-0.330000,9.570000
103,15509,0.110000,-0.330000,9.500000
104,15632,0.100000,-0.330000,9.490000
105,15756,0.100000,-0.370000,9.580000
106,15879,0.090000,-0.340000,9.580000
107,16002,0.130000,-0.340000,9.520000
108,16125,0.100000,-0.320000,9.570000
109,16248,0.110000,-0.370000,9.600000
110,16372,0.100000,-0.330000,9.590000
111,16495,0.120000,-0.360000,9.500000
112,16617,0.120000,-0.340000,9.580000
113,16740,0.100000,-0.350000,9.550000
114,16863,0.100000,-0.340000,9.510000
115,16986,0.110000,-0.380000,9.510000
116,17109,0.090000,-0.340000,9.610000
117,17232,0.090000,-0.340000,9.590000
118,17355,0.120000,-0.350000,9.460000
119,17478,0.100000,-0.340000,9.580000
120,17601,0.120000,-0.340000,9.680000
121,17724,0.120000,-0.340000,9.590000
122,17847,0.100000,-0.340000,9.590000
123,17970,0.140000,-0.370000,9.640000
124,18092,0.120000,-0.340000,9.520000
125,18215,0.090000,-0.360000,9.580000
126,18350,0.110000,-0.330000,9.580000
127,18472,0.130000,-0.360000,9.580000
128,18585,0.090000,-0.320000,9.540000
129,18707,0.050000,-0.410000,9.420000
130,18830,0.140000,-0.350000,9.560000
131,18953,0.090000,-0.330000,9.560000
132,19077,0.110000,-0.340000,9.530000
133,19199,0.110000,-0.340000,9.500000
134,19323,0.110000,-0.350000,9.530000
135,19457,0.120000,-0.330000,9.520000
136,19580,0.100000,-0.370000,9.510000
137,19703,0.090000,-0.330000,9.570000
138,19827,0.120000,-0.360000,9.580000
139,19939,0.100000,-0.340000,9.520000
140,20062,0.110000,-0.340000,9.520000
141,20185,0.100000,-0.340000,9.560000
142,20308,0.130000,-0.340000,9.560000
143,20432,0.080000,-0.360000,9.550000
144,20566,0.100000,-0.350000,9.550000
145,20690,0.110000,-0.340000,9.580000
146,20813,0.120000,-0.340000,9.600000
147,20936,0.090000,-0.340000,9.560000
148,21059,0.110000,-0.340000,9.570000
149,21182,0.110000,-0.330000,9.580000
150,21295,0.110000,-0.330000,9.500000
151,21417,0.100000,-0.340000,9.550000
152,21540,0.110000,-0.320000,9.610000
153,21674,0.110000,-0.330000,9.580000
154,21797,0.100000,-0.340000,9.520000
155,21920,0.100000,-0.340000,9.590000
156,22043,0.100000,-0.350000,9.570000
157,22166,0.100000,-0.340000,9.530000
158,22289,0.100000,-0.340000,9.550000
159,22412,0.100000,-0.350000,9.570000
160,22535,0.110000,-0.340000,9.550000
161,22647,0.110000,-0.330000,9.480000
162,22781,0.100000,-0.340000,9.530000
163,22904,0.100000,-0.340000,9.580000
164,23027,0.100000,-0.340000,9.510000
165,23150,0.080000,-0.340000,9.570000
166,23273,0.110000,-0.350000,9.520000
167,23396,0.110000,-0.340000,9.550000
168,23519,0.120000,-0.350000,9.550000
169,23642,0.100000,-0.340000,9.570000
170,23765,0.100000,-0.350000,9.540000
171,23888,0.110000,-0.350000,9.560000
172,24011,0.130000,-0.340000,9.570000
173,24134,0.090000,-0.340000,9.540000
174,24258,0.110000,-0.350000,9.500000
175,24381,0.090000,-0.340000,9.520000
176,24504,0.120000,-0.340000,9.520000
177,24627,0.100000,-0.330000,9.570000
178,24751,0.100000,-0.340000,9.540000
179,24874,0.110000,-0.340000,9.580000
180,24997,0.110000,-0.340000,9.570000
181,25120,0.090000,-0.340000,9.570000
182,25244,0.110000,-0.340000,9.580000
183,25367,0.120000,-0.350000,9.560000
184,25490,0.110000,-0.330000,9.520000
185,25614,0.110000,-0.340000,9.530000
186,25737,0.140000,-0.320000,9.530000
187,25860,0.110000,-0.340000,9.570000
188,25983,0.100000,-0.340000,9.500000
189,26106,0.110000,-0.350000,9.530000
190,26229,0.110000,-0.330000,9.540000
191,26352,0.100000,-0.330000,9.540000
192,26475,0.110000,-0.340000,9.590000
193,26598,0.090000,-0.340000,9.490000
194,26721,0.110000,-0.340000,9.520000
195,26844,0.110000,-0.340000,9.500000
196,26967,0.090000,-0.340000,9.550000
197,27090,0.110000,-0.350000,9.600000
198,27224,0.100000,-0.340000,9.560000
199,27347,0.100000,-0.340000,9.550000
200,27459,0.100000,-0.340000,9.530000
201,27582,0.110000,-0.350000,9.550000
202,27705,0.120000,-0.360000,9.570000
203,27828,0.110000,-0.340000,9.520000
204,27951,0.110000,-0.340000,9.510000
205,28074,0.120000,-0.350000,9.560000
206,28197,0.110000,-0.350000,9.620000
207,28331,0.090000,-0.340000,9.580000
208,28454,0.110000,-0.340000,9.550000
209,28577,0.130000,-0.330000,9.540000
210,28700,0.110000,-0.330000,9.540000
211,28812,0.120000,-0.340000,9.610000
212,28935,0.110000,-0.340000,9.580000
213,29058,0.110000,-0.340000,9.500000
214,29181,0.110000,-0.340000,9.560000
215,29304,0.090000,-0.340000,9.560000
216,29438,0.110000,-0.340000,9.570000
217,29561,0.130000,-0.350000,9.580000
218,29684,0.090000,-0.340000,9.520000
219,29807,0.110000,-0.360000,9.530000
220,29930,0.080000,-0.340000,9.560000
221,30053,0.110000,-0.340000,9.540000
222,30166,0.110000,-0.340000,9.540000
223,30288,0.100000,-0.360000,9.540000
224,30412,0.090000,-0.360000,9.540000
225,30546,0.110000,-0.340000,9.540000
226,30669,0.100000,-0.330000,9.510000
227,30793,0.120000,-0.330000,9.580000
228,30916,0.090000,-0.350000,9.540000
229,31039,0.110000,-0.340000,9.560000
230,31162,0.110000,-0.330000,9.560000
231,31286,0.110000,-0.340000,9.540000
232,31409,0.110000,-0.340000,9.590000
233,31521,0.090000,-0.340000,9.520000
234,31655,0.110000,-0.360000,9.580000
235,31779,0.120000,-0.340000,9.520000
236,31902,0.090000,-0.340000,9.500000
237,32025,0.110000,-0.330000,9.590000
238,32148,0.100000,-0.340000,9.590000
239,32271,0.110000,-0.350000,9.570000
240,32394,0.100000,-0.330000,9.550000
241,32517,0.100000,-0.330000,9.540000
242,32640,0.110000,-0.340000,9.590000
243,32763,0.100000,-0.330000,9.540000
244,32886,0.100000,-0.340000,9.580000
245,33009,0.090000,-0.340000,9.530000
246,33132,0.110000,-0.330000,9.520000
247,33255,0.110000,-0.340000,9.580000
248,33378,0.120000,-0.340000,9.550000
249,33501,0.110000,-0.340000,9.540000
250,33624,0.110000,-0.340000,9.560000
251,33747,0.100000,-0.340000,9.550000
252,33870,0.100000,-0.340000,9.580000
253,33993,0.110000,-0.340000,9.550000
254,34116,0.120000,-0.350000,9.530000
255,34239,0.100000,-0.340000,9.600000
256,34363,0.110000,-0.330000,9.520000
257,34486,0.110000,-0.340000,9.590000
258,34609,0.110000,-0.340000,9.550000
259,34732,0.100000,-0.350000,9.530000
260,34856,0.120000,-0.340000,9.530000
261,34979,0.100000,-0.340000,9.540000
262,35102,0.110000,-0.340000,9.520000
263,35225,0.100000,-0.340000,9.550000
264,35349,0.120000,-0.350000,9.560000
265,35472,0.110000,-0.330000,9.550000
266,35595,0.100000,-0.330000,9.560000
267,35718,0.120000,-0.360000,9.590000
268,35841,0.110000,-0.340000,9.590000
269,35965,0.100000,-0.340000,9.540000
270,36099,0.110000,-0.340000,9.580000
271,36222,0.110000,-0.340000,9.510000
272,36334,0.090000,-0.350000,9.530000
273,36457,0.120000,-0.340000,9.570000
274,36580,0.090000,-0.330000,9.540000
275,36703,0.090000,-0.340000,9.520000
276,36825,0.110000,-0.350000,9.560000
277,36948,0.110000,-0.330000,9.590000
278,37071,0.110000,-0.340000,9.510000
279,37205,0.110000,-0.340000,9.580000
280,37328,0.100000,-0.330000,9.580000
281,37452,0.110000,-0.340000,9.510000
282,37575,0.100000,-0.330000,9.550000
283,37687,0.120000,-0.340000,9.560000
284,37810,0.090000,-0.360000,9.580000
285,37933,0.120000,-0.330000,9.540000
286,38056,0.080000,-0.340000,9.520000
287,38180,0.130000,-0.330000,9.550000
288,38314,0.110000,-0.350000,9.530000
289,38437,0.100000,-0.340000,9.560000
290,38560,0.120000,-0.350000,9.560000
291,38684,0.100000,-0.350000,9.520000
292,38807,0.100000,-0.340000,9.530000
293,38930,0.110000,-0.340000,9.570000
294,39043,0.100000,-0.340000,9.570000
295,39165,0.120000,-0.350000,9.570000
296,39288,0.110000,-0.340000,9.520000
297,39423,0.120000,-0.330000,9.560000
298,39546,0.110000,-0.340000,9.560000
299,39669,0.110000,-0.340000,9.560000
300,39792,0.110000,-0.330000,9.540000
301,39915,0.110000,-0.340000,9.510000
302,40038,0.090000,-0.330000,9.550000
303,40161,0.110000,-0.340000,9.580000
304,40283,0.110000,-0.340000,9.590000
305,40396,0.110000,-0.340000,9.490000
306,40529,0.100000,-0.320000,9.540000
307,40652,0.120000,-0.350000,9.530000
308,40775,0.100000,-0.330000,9.550000
309,40898,0.130000,-0.360000,9.600000
310,41021,0.090000,-0.340000,9.540000
311,41144,0.110000,-0.330000,9.510000
312,41267,0.090000,-0.350000,9.520000
313,41390,0.130000,-0.330000,9.590000
314,41513,0.080000,-0.340000,9.580000
315,41636,0.140000,-0.270000,8.760000
316,41759,0.110000,-0.380000,9.470000
317,41883,0.070000,-0.340000,9.640000
318,42006,0.190000,-0.330000,9.500000
319,42128,0.110000,-0.360000,9.590000
